Co_100_1_NT_16;	0.156;	4081;	639;	370;	344
Co_100_1_NT_17;	0.14;	5077;	632;	255;	447
Co_100_1_NT_18;	0.122;	5446;	574;	468;	396
Co_100_1_NT_19;	0.137;	4610;	614;	295;	333
Co_100_1_T_0;	0.177;	4276;	393;	332;	515
Co_100_1_T_1;	0.152;	4815;	434;	362;	412
Co_100_1_T_2;	0.156;	4636;	408;	466;	307
Co_100_1_T_3;	0.143;	4691;	553;	381;	346
Co_100_1_T_4;	0.098;	5350;	658;	340;	506
Co_100_1_T_5;	0.146;	3919;	494;	305;	316
Co_100_1_T_6;	0.125;	4764;	667;	342;	377
Co_100_1_T_7;	0.105;	5215;	508;	363;	413
Co_100_1_T_8;	0.097;	5012;	343;	324;	560
Co_100_1_T_9;	0.095;	6730;	1009;	430;	464
Co_100_1_T_10;	0.079;	5876;	738;	446;	465
Co_100_1_T_11;	0.143;	5155;	606;	329;	440
Co_100_1_T_12;	0.082;	3588;	398;	399;	226
Co_100_1_T_13;	0.161;	5099;	555;	483;	320
Co_100_1_T_14;	0.135;	4983;	468;	413;	418
Co_100_1_T_15;	0.137;	4507;	418;	432;	374
Co_100_1_T_16;	0.143;	4428;	535;	364;	382
Co_100_1_T_17;	0.148;	5535;	562;	264;	463
Co_100_1_T_18;	0.102;	5491;	823;	428;	340
Co_100_1_T_19;	0.131;	4542;	493;	300;	370
Co_100_20_NT_0;	1.771;	3625;	2103;	263;	124
Co_100_20_NT_1;	1.693;	3203;	2738;	83;	86
Co_100_20_NT_2;	1.294;	2196;	1713;	189;	35
Co_100_20_NT_3;	1.871;	2182;	1305;	180;	141
Co_100_20_NT_4;	1.296;	2168;	1900;	83;	34
Co_100_20_NT_5;	1.448;	2614;	1810;	145;	153
Co_100_20_NT_6;	1.57;	2015;	1345;	182;	83
Co_100_20_NT_7;	1.512;	2481;	1792;	187;	99
Co_100_20_NT_8;	1.83;	3027;	1827;	174;	284
Co_100_20_NT_9;	1.62;	2551;	1720;	115;	200
Co_100_20_NT_10;	1.952;	3015;	2168;	184;	149
Co_100_20_NT_11;	1.456;	2728;	2010;	226;	83
Co_100_20_NT_12;	1.498;	2505;	1600;	31;	270
Co_100_20_NT_13;	1.365;	2676;	2074;	109;	128
Co_100_20_NT_14;	1.803;	2584;	1990;	122;	58
Co_100_20_NT_15;	1.942;	3527;	1550;	105;	442
Co_100_20_NT_16;	1.302;	2093;	1559;	81;	124
Co_100_20_NT_17;	2.207;	2029;	1707;	95;	44
Co_100_20_NT_18;	1.552;	2628;	1910;	236;	82
Co_100_20_NT_19;	1.471;	3076;	2141;	116;	183
Co_100_20_T_0;	1.887;	3662;	2231;	171;	143
Co_100_20_T_1;	1.86;	3164;	2551;	186;	80
Co_100_20_T_2;	1.285;	2207;	1203;	207;	193
Co_100_20_T_3;	1.918;	2195;	988;	91;	306
Co_100_20_T_4;	1.32;	2172;	1633;	113;	103
Co_100_20_T_5;	1.583;	2610;	1598;	248;	155
Co_100_20_T_6;	1.489;	2005;	1336;	149;	108
Co_100_20_T_7;	1.4;	2486;	2029;	82;	90
Co_100_20_T_8;	1.542;	3032;	1665;	129;	368
Co_100_20_T_9;	1.678;	2551;	1806;	168;	136
Co_100_20_T_10;	1.906;	3018;	2430;	59;	145
Co_100_20_T_11;	1.461;	2728;	1887;	256;	104
Co_100_20_T_12;	1.5;	2495;	1413;	105;	283
Co_100_20_T_13;	1.374;	2684;	1995;	81;	173
Co_100_20_T_14;	1.466;	2575;	2005;	68;	89
Co_100_20_T_15;	1.909;	3592;	2185;	149;	201
Co_100_20_T_16;	1.3;	2098;	1513;	128;	108
Co_100_20_T_17;	1.929;	2040;	1187;	109;	208
Co_100_20_T_18;	1.552;	2628;	1689;	249;	147
Co_100_20_T_19;	1.524;	3098;	2022;	261;	126
Co_300_20_NT_0;	25.628;	7369;	5186;	500;	264
Co_300_20_NT_1;	28.814;	7035;	4744;	575;	312
Co_300_20_NT_2;	21.883;	7656;	5847;	373;	246
Co_300_20_NT_3;	25.531;	7165;	3828;	470;	777
Co_300_20_NT_4;	24.294;	8037;	5068;	222;	784
Co_300_20_NT_5;	21.724;	6318;	2841;	572;	707
Co_300_20_NT_6;	23.469;	6998;	5496;	433;	210
Co_300_20_NT_7;	17.117;	6381;	4885;	372;	246
Co_300_20_NT_8;	17.382;	7019;	4858;	545;	337
Co_300_20_NT_9;	19.063;	7183;	4379;	480;	614
Co_300_20_NT_10;	25.28;	8101;	6099;	464;	301
Co_300_20_NT_11;	22.938;	7638;	5360;	462;	411
Co_300_20_NT_12;	25.207;	8193;	6074;	433;	307
Co_300_20_NT_13;	24.008;	7580;	5198;	543;	391
Co_300_20_NT_14;	23.147;	7681;	4723;	691;	354
Co_300_20_NT_15;	25.696;	8546;	6365;	378;	318
Co_300_20_NT_16;	20.422;	7129;	4566;	322;	638
Co_300_20_NT_17;	25.232;	7191;	4800;	648;	324
Co_300_20_NT_18;	23.716;	8074;	4329;	205;	1040
Co_300_20_NT_19;	28.973;	7556;	5325;	572;	283
Co_300_20_T_0;	27.258;	7384;	4401;	624;	443
Co_300_20_T_1;	30.834;	7045;	4518;	451;	470
Co_300_20_T_2;	22.448;	7677;	5024;	567;	391
Co_300_20_T_3;	25.1;	7174;	3786;	809;	565
Co_300_20_T_4;	25.942;	8055;	5614;	477;	432
Co_300_20_T_5;	21.737;	6353;	3530;	637;	434
Co_300_20_T_6;	23.244;	6992;	4684;	470;	456
Co_300_20_T_7;	19.756;	6387;	3726;	560;	507
Co_300_20_T_8;	23.853;	7024;	4640;	666;	329
Co_300_20_T_9;	19.247;	7183;	3898;	446;	797
Co_300_20_T_10;	23.834;	8102;	5449;	639;	401
Co_300_20_T_11;	28.346;	7659;	3630;	802;	761
Co_300_20_T_12;	25.041;	8223;	4286;	340;	965
Co_300_20_T_13;	24.05;	7600;	4894;	622;	440
Co_300_20_T_14;	24.833;	7647;	3336;	264;	1101
Co_300_20_T_15;	27.151;	8590;	5549;	798;	310
Co_300_20_T_16;	18.952;	7140;	4387;	527;	561
Co_300_20_T_17;	24.72;	7227;	4373;	628;	480
Co_300_20_T_18;	23.628;	8047;	5086;	815;	381
Co_300_20_T_19;	23.134;	7505;	4513;	654;	499
Co_30_1_TT_0;	0.022;	816;	87;		47;		48
Co_30_20_TT_0;	0.088;	1005;	117;	14;		91
Co_100_1_TT_0;	0.229;	4759;	424;	128;	189
Co_100_20_TT_0;	2.298;	2536;	542;	28;		272
Co_30_1_TL_0;	0.019;	1524;	185;	104;	71
Co_30_20_TL_0;	0.175;	1736;	486;	90;		0
Co_100_1_TL_0;	0.247;	9314;	772;	446;	172
Co_100_20_TL_0;	1.995;	4180;	1830;	206;	0
Co_30_1_ST_0;	0.647;	23427;	56;		63;		64
Co_30_20_ST_0;	2.409;	18137;	56;		63;		64
Co_100_1_ST_0;	3777.67;	39957;	218;	215;	209
